sample_id,dataset,question,answer,ground_truth,label,category,difficulty,source,derived_from
medhallu_0::hallucinated,medhallu,Are group 2 innate lymphoid cells ( ILC2s ) increased in chronic rhinosinusitis with nasal polyps or eosinophilia?,Group 2 innate lymphoid cells (ILC2s) are significantly decreased in chronic rhinosinusitis with nasal polyps and eosinophilia. Studies have shown that a reduction in ILC2s correlates with increased eosinophilia and more severe nasal symptoms. A study by Lee et al. (2021) found that ILC2 depletion is a protective mechanism against excessive eosinophilic inflammation in CRSwNP.,"As ILC2s are elevated in patients with CRSwNP, they may drive nasal polyp formation in CRS. ILC2s are also linked with high tissue and blood eosinophilia and have a potential role in the activation and survival of eosinophils during the Th2 immune response. The association of innate lymphoid cells in CRS provides insights into its pathogenesis.",1,Misinterpretation of #Question#,easy,,provided_hallucinated_answer
medhallu_0::factual,medhallu,Are group 2 innate lymphoid cells ( ILC2s ) increased in chronic rhinosinusitis with nasal polyps or eosinophilia?,"As ILC2s are elevated in patients with CRSwNP, they may drive nasal polyp formation in CRS. ILC2s are also linked with high tissue and blood eosinophilia and have a potential role in the activation and survival of eosinophils during the Th2 immune response. The association of innate lymphoid cells in CRS provides insights into its pathogenesis.","As ILC2s are elevated in patients with CRSwNP, they may drive nasal polyp formation in CRS. ILC2s are also linked with high tissue and blood eosinophilia and have a potential role in the activation and survival of eosinophils during the Th2 immune response. The association of innate lymphoid cells in CRS provides insights into its pathogenesis.",0,Misinterpretation of #Question#,easy,,ground_truth_counterpart
medhallu_1::hallucinated,medhallu,Does vagus nerve contribute to the development of steatohepatitis and obesity in phosphatidylethanolamine N-methyltransferase deficient mice?,Capsaicin-induced disruption of hepatic afferent vagus nerve significantly increases the development of steatohepatitis in Pemt(-/-) mice.,Neuronal signals via the hepatic vagus nerve contribute to the development of steatohepatitis and protection against obesity in HFD fed Pemt(-/-) mice.,1,Misinterpretation of #Question#,medium,,provided_hallucinated_answer
medhallu_1::factual,medhallu,Does vagus nerve contribute to the development of steatohepatitis and obesity in phosphatidylethanolamine N-methyltransferase deficient mice?,Neuronal signals via the hepatic vagus nerve contribute to the development of steatohepatitis and protection against obesity in HFD fed Pemt(-/-) mice.,Neuronal signals via the hepatic vagus nerve contribute to the development of steatohepatitis and protection against obesity in HFD fed Pemt(-/-) mice.,0,Misinterpretation of #Question#,medium,,ground_truth_counterpart
medhallu_10::hallucinated,medhallu,Do obese patients with idiopathic pulmonary fibrosis have a higher 90-day mortality risk with bilateral lung transplantation?,"Obese patients with idiopathic pulmonary fibrosis (IPF) face a significantly higher 90-day mortality risk following bilateral lung transplantation compared to those with a normal body mass index (BMI). A retrospective analysis of data from the Organ Procurement and Transplantation Network (OPTN) indicates that patients with a BMI greater than 30 kg/m² who received bilateral lung transplants are 1.71 times more likely to die within 90 days than those with a BMI between 18.5 and 30 kg/m² (95% CI: [1.45-2.01], n=3500).",Our results suggest that obese patients who receive a BLT may be at higher risk of 90-day mortality compared with patients of normal weight. Further study is needed to obtain more detailed information about comorbidities and other risk factors for early death that are not included in the OPTN database.,1,Incomplete Information,hard,,provided_hallucinated_answer
medhallu_10::factual,medhallu,Do obese patients with idiopathic pulmonary fibrosis have a higher 90-day mortality risk with bilateral lung transplantation?,Our results suggest that obese patients who receive a BLT may be at higher risk of 90-day mortality compared with patients of normal weight. Further study is needed to obtain more detailed information about comorbidities and other risk factors for early death that are not included in the OPTN database.,Our results suggest that obese patients who receive a BLT may be at higher risk of 90-day mortality compared with patients of normal weight. Further study is needed to obtain more detailed information about comorbidities and other risk factors for early death that are not included in the OPTN database.,0,Incomplete Information,hard,,ground_truth_counterpart
medhallu_100::hallucinated,medhallu,Does treatment with egg antigens of Schistosoma mansoni ameliorate experimental colitis in mice through a colonic T-cell-dependent mechanism?,Treatment with egg antigens of Schistosoma mansoni exacerbates colitis symptoms in mice through a colonic T-cell-independent mechanism.,Our results demonstrated that the administration of SmSEA reduces the severity of colitis in the adoptive transfer mouse model characterized by an increased Th2 response and a suppressed Th17 response in the colon.,1,Misinterpretation of #Question#,easy,,provided_hallucinated_answer
medhallu_100::factual,medhallu,Does treatment with egg antigens of Schistosoma mansoni ameliorate experimental colitis in mice through a colonic T-cell-dependent mechanism?,Our results demonstrated that the administration of SmSEA reduces the severity of colitis in the adoptive transfer mouse model characterized by an increased Th2 response and a suppressed Th17 response in the colon.,Our results demonstrated that the administration of SmSEA reduces the severity of colitis in the adoptive transfer mouse model characterized by an increased Th2 response and a suppressed Th17 response in the colon.,0,Misinterpretation of #Question#,easy,,ground_truth_counterpart
medhallu_1000::hallucinated,medhallu,Does n-Acetylcysteine Amide exert Possible Neuroprotective Effects in Newborn Pigs after Perinatal Asphyxia?,N-Acetylcysteine Amide (NACA) significantly enhances cognitive recovery in newborn pigs after perinatal asphyxia through increased neurogenesis in the hippocampus.,The reduced levels of the pivotal inflammatory markers IL-1β and TNFα and the transcription factor NF-x03BA;B may indicate that NACA has possible neuroprotective effects after perinatal asphyxia.,1,Misinterpretation of #Question#,medium,,provided_hallucinated_answer
medhallu_1000::factual,medhallu,Does n-Acetylcysteine Amide exert Possible Neuroprotective Effects in Newborn Pigs after Perinatal Asphyxia?,The reduced levels of the pivotal inflammatory markers IL-1β and TNFα and the transcription factor NF-x03BA;B may indicate that NACA has possible neuroprotective effects after perinatal asphyxia.,The reduced levels of the pivotal inflammatory markers IL-1β and TNFα and the transcription factor NF-x03BA;B may indicate that NACA has possible neuroprotective effects after perinatal asphyxia.,0,Misinterpretation of #Question#,medium,,ground_truth_counterpart
